path,size,gen,kind,instr_valid,instr_total,fm,midi,syn02,syn04,syn08,track_count,max_fill,row_count,tempo,speed
../MEDIT/LAPMUSIC/INFERNO/BANK1.RLD,111222,0,Adlib,63,63,63,0,0,63,0,16,16,56,50,4
../MEDIT/LAPMUSIC/INFERNO/BASIC.RLD,92998,0,Adlib,63,63,63,0,0,63,0,16,16,30,50,4
../MEDIT/LAPMUSIC/INFERNO/BLOCK1.RLD,90276,0,Adlib,63,63,63,0,0,63,0,16,16,77,50,4
../MEDIT/LAPMUSIC/INFERNO/BRIEFING.RLD,8762,4,Adlib,8,8,8,0,0,8,0,7,7,18,50,6
../MEDIT/LAPMUSIC/INFERNO/DEATH.RLD,15400,0,Adlib,21,21,21,0,0,21,0,16,16,14,50,6
../MEDIT/LAPMUSIC/INFERNO/DEATH2.RLD,19668,0,Adlib,64,64,64,0,0,64,0,8,8,1,33,6
../MEDIT/LAPMUSIC/INFERNO/FLYING1.RLD,91856,0,Adlib,56,56,56,0,0,56,0,16,16,44,50,4
../MEDIT/LAPMUSIC/INFERNO/FLYING2.RLD,108444,0,Adlib,64,64,64,0,0,64,0,16,16,63,50,4
../MEDIT/LAPMUSIC/INFERNO/FLYING3.RLD,112178,0,Adlib,65,65,65,0,0,65,0,16,16,65,50,4
../MEDIT/LAPMUSIC/INFERNO/FLYING4.RLD,111900,0,Adlib,64,64,64,0,0,64,0,16,16,65,50,4
../MEDIT/LAPMUSIC/INFERNO/INTRO.LAP,51358,0,Adlib,48,48,48,0,0,48,0,16,16,34,50,4
../MEDIT/LAPMUSIC/INFERNO/TEST.BAZ,13098,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
../MEDIT/LAPMUSIC/INFERNO/FINAL/BRIEFING.RLD,24752,0,Adlib,48,48,48,0,0,48,0,12,12,12,50,4
../MEDIT/LAPMUSIC/INFERNO/FINAL/COLUMBIA.RLD,12970,0,Adlib,17,17,17,0,0,17,0,14,14,11,50,6
../MEDIT/LAPMUSIC/INFERNO/FINAL/INTRO.LAP,51502,0,Adlib,48,48,48,0,0,48,0,8,8,34,50,4
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/AIR.RLD,98454,0,Adlib,63,63,63,0,0,63,0,16,16,65,50,6
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/BATTLE.RLD,112060,0,Adlib,64,64,64,0,0,64,0,16,16,13,50,4
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/BATTLE2.RLD,96892,4,Adlib,64,64,64,0,0,64,0,16,16,13,50,4
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/BLOCK1.LAP,98454,0,Adlib,63,63,63,0,0,63,0,16,16,65,50,6
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/FAILED.RLD,36042,0,Adlib,63,63,63,0,0,63,0,16,16,11,50,4
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/FIXED.L2,61894,4,Unknown,0,1,0,0,0,0,0,16,16,81,50,6
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/FIXED.LAP,93568,0,Adlib,63,63,63,0,0,63,0,16,16,81,50,6
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/INTERCEP.RLD,112060,0,Adlib,64,64,64,0,0,64,0,16,16,21,50,4
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/INTERDIC.RLD,112060,0,Adlib,64,64,64,0,0,64,0,16,16,20,50,4
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/MARITME.RLD,89444,0,Adlib,63,63,63,0,0,63,0,16,16,26,50,4
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/NOINSTS.LAP,71200,0,Unknown,0,1,0,0,0,0,0,16,16,55,50,6
../MEDIT/LAPMUSIC/INFERNO/SEPARATE/SUCCESS.RLD,89412,0,Adlib,63,63,63,0,0,63,0,16,16,10,50,4
../MEDIT/LAPMUSIC/ODYSSEY/ASFP1.RLD,10106,4,Adlib,15,15,15,0,0,15,0,16,16,7,50,6
../MEDIT/LAPMUSIC/ODYSSEY/ASFP1B.RLD,29940,4,Adlib,30,30,30,0,0,30,0,16,16,25,50,6
../MEDIT/LAPMUSIC/ODYSSEY/DEATH.RLD,2322,0,Adlib,5,5,5,0,0,5,0,5,5,1,33,6
../MEDIT/LAPMUSIC/ODYSSEY/FX.LAP,5742,4,Adlib,13,63,13,0,0,13,0,4,4,14,33,6
../MEDIT/LAPMUSIC/ODYSSEY/INGAME1.RLD,9804,0,Adlib,22,32,22,0,0,22,0,4,4,6,33,6
../MEDIT/LAPMUSIC/ODYSSEY/LOGO.RLD,4220,0,Adlib,8,8,8,0,0,8,0,14,14,5,50,6
../MEDIT/LAPMUSIC/ODYSSEY/LOGO2.RLD,4942,2,Adlib,11,11,11,0,0,11,0,14,6,3,50,6
../MEDIT/LAPMUSIC/ODYSSEY/TITLE.RLD,25870,0,Adlib,63,63,63,0,0,63,0,12,12,11,50,6
../MEDIT/LAPMUSIC/ODYSSEY/TITLE2.RLD,22804,0,Adlib,63,63,63,0,0,63,0,4,4,2,50,6
../MEDIT/LAPMUSIC/ODYSSEY/TITLEX.RLD,50138,0,Adlib,63,63,63,0,0,63,0,12,12,30,50,6
../MEDIT/LAPMUSIC/ODYSSEY/WEIRD.RLD,13452,0,Adlib,17,17,17,0,0,17,0,10,10,9,50,6
../MEDIT/LAPMUSIC/ODYSSEY/X.RLD,42794,0,Adlib,63,63,63,0,0,63,0,12,12,28,50,10
../MEDIT/LAPMUSIC/ODYSSEY/X.X,41562,0,Adlib,63,63,63,0,0,63,0,12,12,28,50,10
../MEDIT/LAPMUSIC/SHUTIT/1.ALB,14754,0,Adlib,14,14,14,0,4,8,0,8,8,14,50,6
../MEDIT/LAPMUSIC/SHUTIT/1.RLD,15554,0,Adlib,14,14,14,0,0,14,0,8,8,14,50,6
../MEDIT/LAPMUSIC/SHUTIT/2.RLD,7802,0,Adlib,8,8,8,0,0,8,0,4,4,22,50,6
../MEDIT/LAPMUSIC/SHUTIT/3.RLD,7802,0,Adlib,8,8,8,0,0,8,0,4,4,22,50,6
../MEDIT/LAPMUSIC/SHUTIT/4.RLD,16504,0,Adlib,11,11,11,0,0,11,0,6,6,21,50,6
../MEDIT/LAPMUSIC/SHUTIT/INGAME3.RLD,14630,0,Adlib,8,8,8,0,0,8,0,7,7,20,33,5
../MEDIT/LAPMUSIC/SHUTIT/INGAME6.RLD,16950,0,Adlib,11,11,11,0,0,11,0,8,8,15,34,5
../MEDIT/LAPMUSIC/SHUT_IT/GAME_7.ADL,8694,0,Adlib,10,11,10,0,10,0,0,16,16,8,22,2
../MEDIT/LAPMUSIC/SHUT_IT/GAME_7.RLD,8386,0,Adlib,8,9,8,0,0,8,0,16,16,8,22,2
../MEDIT/LAPMUSIC/SHUT_IT/GAME_9.ADL,12830,0,Adlib,10,11,10,0,10,0,0,16,16,12,50,6
../MEDIT/LAPMUSIC/SHUT_IT/GAME_9.RLD,13878,0,Adlib,10,11,10,0,0,10,0,16,16,12,50,6
../MEDIT/LAPMUSIC/SHUT_IT/INGAME1.RLD,15554,0,Adlib,14,14,14,0,0,14,0,8,8,14,50,6
../MEDIT/LAPMUSIC/SHUT_IT/INGAME2.ADL,10994,0,Adlib,12,12,12,0,7,5,0,14,14,22,50,5
../MEDIT/LAPMUSIC/SHUT_IT/INGAME2.RLD,16014,0,Adlib,12,12,12,0,0,12,0,14,14,22,50,5
../MEDIT/LAPMUSIC/SHUT_IT/INGAME3.ADL,11686,0,Adlib,8,8,8,0,8,0,0,14,14,20,50,8
../MEDIT/LAPMUSIC/SHUT_IT/INGAME3.RLD,14630,0,Adlib,8,8,8,0,0,8,0,14,14,20,50,8
../MEDIT/LAPMUSIC/SHUT_IT/INGAME4.ADL,20026,0,Adlib,12,12,12,0,9,3,0,7,7,21,50,6
../MEDIT/LAPMUSIC/SHUT_IT/INGAME4.RLD,17102,0,Adlib,12,12,12,0,0,12,0,7,7,21,50,6
../MEDIT/LAPMUSIC/SHUT_IT/INGAME6.ADL,16184,0,Mixed,13,13,12,1,12,1,0,8,8,15,50,7
